Time ,CO2,Temp,Humidity
8:10:10 AM,810,24.73,49.22
8:10:20 AM,809,24.71,49.17
8:10:30 AM,810,24.7,49.12
8:10:40 AM,810,24.69,49.09
8:10:50 AM,812,24.69,49.14
8:11:00 AM,812,24.65,49.02
8:11:10 AM,814,24.64,48.98
8:11:20 AM,816,24.64,48.9
8:11:30 AM,816,24.61,48.85
8:11:40 AM,820,24.6,48.82
8:11:50 AM,821,24.57,48.82
8:12:00 AM,823,24.54,48.74
8:12:10 AM,822,24.54,48.7
8:12:20 AM,816,24.49,48.62
8:12:30 AM,780,24.49,48.63
8:12:40 AM,806,24.48,48.49
8:12:50 AM,778,24.48,48.54
8:13:00 AM,748,24.43,48.43
8:13:10 AM,765,24.42,48.48
8:13:20 AM,754,24.4,48.51
8:13:30 AM,750,24.38,48.52
8:13:40 AM,783,24.35,48.69
8:13:50 AM,783,24.34,48.73
8:14:00 AM,691,24.33,48.76
8:14:10 AM,698,24.31,48.85
8:14:20 AM,694,24.31,48.92
8:14:30 AM,861,24.28,48.97
8:14:40 AM,829,24.29,48.98
8:14:50 AM,774,24.26,49.04
8:15:00 AM,704,24.24,49.06
8:15:10 AM,705,24.23,49.14
8:15:20 AM,707,24.22,49.15
8:15:30 AM,707,24.21,49.19
8:15:40 AM,699,24.17,49.18
8:15:50 AM,699,24.19,49.22
8:16:00 AM,697,24.2,49.22
8:16:10 AM,680,24.16,49.24
8:16:20 AM,679,24.14,49.25
8:16:30 AM,679,24.15,49.26
8:16:40 AM,679,24.14,49.35
8:16:50 AM,679,24.11,49.36
8:17:00 AM,674,24.11,49.33
8:17:10 AM,674,24.11,49.35
8:17:20 AM,675,24.11,49.39
8:17:30 AM,676,24.09,49.43
8:17:40 AM,676,24.08,49.45
8:17:50 AM,678,24.1,49.45
8:18:00 AM,678,24.06,49.53
8:18:10 AM,679,24.06,49.49
8:18:20 AM,681,24.05,49.54
8:18:30 AM,682,24.03,49.61
8:18:40 AM,685,24.03,49.58
8:18:50 AM,687,24.02,49.55
8:19:00 AM,696,24.03,49.63
8:19:10 AM,700,24,49.66
8:19:20 AM,700,24.01,49.66
8:19:30 AM,703,24,49.68
8:19:40 AM,705,23.98,49.66
8:19:50 AM,706,23.98,49.66
8:20:00 AM,706,23.98,49.72
8:20:10 AM,707,23.98,49.72
8:20:20 AM,708,23.97,49.67
8:20:30 AM,709,23.95,49.68
8:20:40 AM,708,23.95,49.74
8:20:50 AM,710,23.96,49.73
8:21:00 AM,710,23.94,49.71
8:21:10 AM,711,23.94,49.75
8:21:20 AM,711,23.93,49.75
8:21:30 AM,712,23.93,49.72
8:21:40 AM,714,23.92,49.75
8:21:50 AM,716,23.89,49.7
8:22:00 AM,717,23.9,49.73
8:22:10 AM,718,23.9,49.72
8:22:20 AM,719,23.87,49.69
8:22:30 AM,720,23.88,49.7
8:22:40 AM,720,23.88,49.68
8:22:50 AM,714,23.86,49.65
8:23:00 AM,717,23.85,49.9
8:23:10 AM,717,23.82,50.19
8:23:20 AM,720,23.82,50.27
8:23:30 AM,722,23.82,50.32
8:23:40 AM,724,23.8,50.23
8:23:50 AM,730,23.78,50.16
8:24:00 AM,735,23.77,50.19
8:24:10 AM,737,23.77,50.12
8:24:20 AM,742,23.74,50.09
8:24:30 AM,745,23.74,50.1
8:24:40 AM,751,23.69,50.08
8:24:50 AM,753,23.69,50.03
8:25:00 AM,756,23.68,50.03
8:25:10 AM,760,23.65,50.01
8:25:20 AM,765,23.63,50.11
8:25:30 AM,767,23.63,50.1
8:25:40 AM,769,23.61,50.17
8:25:50 AM,770,23.57,50.14
8:26:00 AM,771,23.57,50.14
8:26:10 AM,772,23.55,50.2
8:26:20 AM,772,23.54,50.27
8:26:30 AM,772,23.5,50.29
8:26:40 AM,773,23.51,50.35
8:26:50 AM,773,23.48,50.38
8:27:00 AM,775,23.47,50.39
8:27:10 AM,776,23.44,50.52
8:27:20 AM,777,23.42,50.55
8:27:30 AM,779,23.4,50.59
8:27:40 AM,779,23.41,50.65
8:27:50 AM,780,23.38,50.68
8:28:00 AM,782,23.37,50.76
8:28:10 AM,783,23.36,50.82
8:28:20 AM,783,23.34,50.81
8:28:30 AM,786,23.34,50.95
8:28:40 AM,786,23.32,50.98
8:28:50 AM,786,23.28,51.03
8:29:00 AM,789,23.28,51.05
8:29:10 AM,789,23.28,51.12
8:29:20 AM,789,23.26,51.19
8:29:30 AM,790,23.25,51.22
8:29:40 AM,790,23.24,51.33
8:29:50 AM,795,23.23,51.4
8:30:00 AM,795,23.24,51.38
8:30:10 AM,795,23.22,51.5
8:30:20 AM,796,23.21,51.55
8:30:30 AM,796,23.18,51.56
8:30:40 AM,795,23.16,51.62
8:30:50 AM,796,23.18,51.69
8:31:00 AM,796,23.16,51.76
8:31:10 AM,796,23.16,51.78
8:31:20 AM,796,23.16,51.86
8:31:30 AM,796,23.14,51.9
8:31:40 AM,796,23.14,51.98
8:31:50 AM,796,23.12,51.97
8:32:00 AM,797,23.11,52.06
8:32:10 AM,796,23.09,52.1
8:32:20 AM,798,23.1,52.15
8:32:30 AM,799,23.09,52.22
8:32:40 AM,800,23.09,52.26
8:32:50 AM,800,23.08,52.32
8:33:00 AM,801,23.07,52.37
8:33:10 AM,801,23.06,52.38
8:33:20 AM,802,23.07,52.49
8:33:30 AM,803,23.06,52.49
8:33:40 AM,806,23.07,52.54
8:33:50 AM,806,23.06,52.56
8:34:00 AM,807,23.05,52.62
8:34:10 AM,810,23.05,52.71
8:34:20 AM,812,23.04,52.72
8:34:30 AM,812,23.03,52.78
8:34:40 AM,812,23.03,52.8
8:34:50 AM,812,23.03,52.86
8:35:00 AM,813,23.02,52.93
8:35:10 AM,814,23.03,52.94
8:35:20 AM,815,23.03,53.02
8:35:30 AM,816,23.02,53.07
8:35:40 AM,818,23.02,53.09
8:35:50 AM,818,23.04,53.12
8:36:00 AM,819,22.99,53.15
8:36:10 AM,820,23,53.18
8:36:20 AM,821,23.01,53.26
8:36:30 AM,822,23.04,53.31
8:36:40 AM,823,23,53.26
8:36:50 AM,823,23,53.38
8:37:00 AM,826,23.02,53.41
8:37:10 AM,829,23.02,53.47
8:37:20 AM,829,23,53.47
8:37:30 AM,830,23,53.54
8:37:40 AM,831,23.01,53.59
8:37:50 AM,833,23,53.59
8:38:00 AM,837,23,53.64
8:38:10 AM,837,23,53.66
8:38:20 AM,837,23.02,53.72
8:38:30 AM,839,22.99,53.72
8:38:40 AM,839,22.99,53.77
8:38:50 AM,840,23,53.79
8:39:00 AM,842,23,53.84
8:39:10 AM,843,23,53.87
8:39:20 AM,844,23,53.9
8:39:30 AM,845,23,53.94
8:39:40 AM,846,23,53.94
8:39:50 AM,845,23.02,54.04
8:40:00 AM,847,22.98,54.32
8:40:10 AM,858,23,55
8:40:20 AM,859,23,55.53
8:40:30 AM,865,23.02,55.98
8:40:40 AM,882,23,56.46
8:40:50 AM,885,23.01,56.64
8:41:00 AM,895,23.02,56.91
8:41:10 AM,900,23.04,57.19
8:41:20 AM,902,23.06,57.19
8:41:30 AM,902,23.05,57.17
8:41:40 AM,902,23.07,57.07
8:41:50 AM,910,23.08,56.97
8:42:00 AM,904,23.1,56.9
8:42:10 AM,896,23.1,56.9
8:42:20 AM,877,23.11,56.94
8:42:30 AM,861,23.14,57.02
8:42:40 AM,849,23.14,57.08
8:42:50 AM,844,23.16,57.1
8:43:00 AM,838,23.17,57.15
8:43:10 AM,833,23.17,57.12
8:43:20 AM,827,23.21,57.13
8:43:30 AM,823,23.2,57.08
8:43:40 AM,820,23.22,57.09
8:43:50 AM,818,23.26,57.08
8:44:00 AM,813,23.24,57.02
8:44:10 AM,787,23.27,57.13
8:44:20 AM,788,23.29,57.23
8:44:30 AM,788,23.27,57.32
8:44:40 AM,787,23.31,57.68
8:44:50 AM,788,23.36,58.22
8:45:00 AM,788,23.35,58.38
8:45:10 AM,790,23.39,58.53
8:45:20 AM,791,23.4,58.77
8:45:30 AM,791,23.41,58.94
8:45:40 AM,790,23.46,58.91
8:45:50 AM,792,23.44,58.9
8:46:00 AM,807,23.49,58.97
8:46:10 AM,815,23.51,58.89
8:46:20 AM,816,23.56,58.84
8:46:30 AM,821,23.56,58.83
8:46:40 AM,821,23.59,58.69
8:46:50 AM,823,23.61,58.64
8:47:00 AM,824,23.64,58.65
8:47:10 AM,829,23.67,58.56
8:47:20 AM,835,23.71,58.5
8:47:30 AM,845,23.75,58.35
8:47:40 AM,855,23.75,58.31
8:47:50 AM,857,23.78,58.26
8:48:00 AM,864,23.82,58.26
8:48:10 AM,868,23.85,58.23
8:48:20 AM,877,23.87,58.19
8:48:30 AM,883,23.93,58.1
8:48:40 AM,889,23.94,58.08
8:48:50 AM,896,23.98,58.02
8:49:00 AM,901,24.03,57.99
8:49:10 AM,909,24.06,57.93
8:49:20 AM,918,24.07,57.91
8:49:30 AM,922,24.11,57.88
8:49:40 AM,932,24.13,57.84
8:49:50 AM,937,24.18,57.84
8:50:00 AM,945,24.19,57.78
8:50:10 AM,958,24.24,57.76
8:50:20 AM,960,24.28,57.79
