Time,CO2,Temp,Humidity
8:11:53 AM,818,24.3,55
8:12:53 AM,601,24.5,62
8:13:53 AM,522,24.6,63
8:14:53 AM,603,24.8,63
8:15:53 AM,749,24.8,60
8:16:53 AM,785,24.7,58
8:17:53 AM,815,24.5,58
8:18:53 AM,821,24.5,54
8:19:53 AM,825,24.4,55
8:20:53 AM,838,24.2,54
8:21:53 AM,831,24,55
8:22:53 AM,822,23.9,55
8:23:53 AM,842,23.8,55
8:24:53 AM,833,23.7,55
8:25:53 AM,845,23.5,55
8:26:53 AM,841,23.4,55
8:27:53 AM,859,23.4,55
8:28:53 AM,851,23.3,55
8:29:53 AM,872,23.2,55
8:30:53 AM,882,23.1,55
8:31:53 AM,900,23,54
8:32:53 AM,903,23,54
8:33:53 AM,921,22.9,54
8:34:53 AM,924,22.9,54
8:35:53 AM,929,22.8,54
8:36:53 AM,930,22.8,54
8:37:53 AM,955,22.7,54
8:38:53 AM,948,22.7,54
8:39:53 AM,965,22.6,55
8:40:53 AM,973,22.6,54
8:41:53 AM,971,22.6,54
8:42:53 AM,1007,22.5,54
8:43:53 AM,1000,22.5,54
8:44:53 AM,1004,22.4,54
8:45:53 AM,1020,22.4,54
8:46:53 AM,1029,22.4,54
8:47:53 AM,1029,22.3,54
8:48:53 AM,1031,22.3,54
8:49:53 AM,1041,22.3,54
8:50:53 AM,1040,22.3,54
8:51:53 AM,1068,22.2,54
8:52:53 AM,1061,22.2,54
8:53:53 AM,1065,22.2,54
8:54:53 AM,1071,22.2,54
8:55:53 AM,1072,22.1,54
8:56:53 AM,1073,22.1,54
8:57:53 AM,1081,22.1,54
8:58:53 AM,1095,22.1,54
8:59:53 AM,1108,22,54
9:00:53 AM,1126,22,54
9:01:53 AM,1134,22,54
9:02:53 AM,1162,22,54
9:03:53 AM,1147,21.9,54
9:04:53 AM,1161,21.9,54
9:05:53 AM,1149,21.9,54
9:06:53 AM,1177,21.9,54
9:07:53 AM,1166,21.9,54
9:08:53 AM,1147,21.8,54
9:09:53 AM,1135,21.8,54
9:10:53 AM,1167,21.8,54
9:11:53 AM,1138,21.7,54
9:12:53 AM,1158,21.7,54
9:13:53 AM,1149,21.7,54
9:14:53 AM,1159,21.7,53
9:15:53 AM,1152,21.7,53
9:16:53 AM,1160,21.6,53
9:17:53 AM,1189,21.6,53
9:18:53 AM,1180,21.6,53
9:19:53 AM,1204,21.5,53
