Time,CO2
11:34:53 AM,958
11:36:53 AM,821
11:38:53 AM,830
11:40:53 AM,824
11:42:53 AM,869
11:44:53 AM,864
11:46:53 AM,867
11:48:53 AM,875
11:50:53 AM,892
11:52:53 AM,900
11:54:53 AM,907
11:56:53 AM,901
11:58:53 AM,908
12:00:53 PM,937
12:02:53 PM,918
12:04:53 PM,914
12:06:53 PM,938
12:08:53 PM,936
12:10:53 PM,934
12:12:53 PM,952
12:14:53 PM,967
12:16:53 PM,963
12:18:53 PM,982
12:20:53 PM,983
12:22:53 PM,982
12:24:53 PM,985
12:26:53 PM,995
12:28:53 PM,996
12:30:53 PM,1006
12:32:53 PM,1017
12:34:53 PM,999
12:36:53 PM,1008
12:38:53 PM,1019
12:40:53 PM,1016
12:42:53 PM,1014
12:44:53 PM,1030
12:46:53 PM,1034
12:48:53 PM,1048
12:50:53 PM,1052
12:52:53 PM,1039
12:54:53 PM,1047
12:56:53 PM,1056
12:58:53 PM,1050
1:00:53 PM,1076
1:02:53 PM,1066
1:04:53 PM,1081
1:06:53 PM,1074
1:08:53 PM,1082
1:10:53 PM,1092
1:12:53 PM,1073
1:14:53 PM,1063
1:16:53 PM,1018
1:18:53 PM,1005
1:20:53 PM,996
1:22:53 PM,980
1:24:53 PM,955
1:26:53 PM,933
1:28:53 PM,905
1:30:53 PM,911
1:32:53 PM,877
1:34:53 PM,849
1:36:53 PM,844
1:38:53 PM,836
1:40:53 PM,813
1:42:53 PM,814
1:44:53 PM,805
1:46:53 PM,790
1:48:53 PM,790
1:50:53 PM,782
1:52:53 PM,758
1:54:53 PM,765
1:56:53 PM,735
1:58:53 PM,742
2:00:53 PM,739
2:02:53 PM,789
2:04:53 PM,793
2:06:53 PM,818
2:08:53 PM,880
2:10:53 PM,892
2:12:53 PM,929
2:14:53 PM,935
2:16:53 PM,939
2:18:53 PM,976
2:20:53 PM,981
2:22:53 PM,986
2:24:53 PM,984
2:26:53 PM,985
2:28:53 PM,992
2:30:53 PM,994
2:32:53 PM,1003
2:34:53 PM,1023
2:36:53 PM,1018
2:38:53 PM,1029
2:40:53 PM,1016
2:42:53 PM,1034
2:44:53 PM,1048
2:46:53 PM,1023
2:48:53 PM,1042
2:50:53 PM,1074
2:52:53 PM,1077
