Time,CO2
8:11:51 AM,636
8:13:51 AM,694
8:15:51 AM,671
8:17:51 AM,656
8:19:51 AM,672
8:21:51 AM,692
8:23:51 AM,705
8:25:51 AM,720
8:27:51 AM,732
8:29:51 AM,780
8:31:51 AM,845
8:33:51 AM,890
8:35:51 AM,896
8:37:51 AM,913
8:39:51 AM,952
8:41:51 AM,987
8:43:51 AM,998
8:45:51 AM,1029
8:47:51 AM,1044
8:49:51 AM,1046
8:51:51 AM,1046
8:53:51 AM,1068
8:55:51 AM,1075
8:57:51 AM,1081
8:59:51 AM,1114
9:01:51 AM,1150
9:03:51 AM,1165
9:05:51 AM,1146
9:07:51 AM,1150
9:09:51 AM,1191
9:11:51 AM,1210
9:13:51 AM,1217
9:15:51 AM,1198
9:17:51 AM,1257
9:19:51 AM,1262
9:21:51 AM,1272
9:23:51 AM,1283
9:25:51 AM,1306
9:27:51 AM,1309
9:29:51 AM,1368
9:31:51 AM,1397
9:33:51 AM,1462
9:35:51 AM,1456
9:37:51 AM,1446
9:39:51 AM,1477
9:41:51 AM,1494
9:43:51 AM,1492
9:45:51 AM,1525
9:47:51 AM,1548
9:49:51 AM,1587
9:51:51 AM,1585
9:53:51 AM,1581
9:55:51 AM,1583
9:57:51 AM,1584
9:59:51 AM,1587
10:01:51 AM,1629
10:03:51 AM,1687
10:05:51 AM,1628
10:07:51 AM,1641
10:09:51 AM,1630
10:11:51 AM,1669
10:13:51 AM,1684
10:15:51 AM,1724
10:17:51 AM,1743
10:19:51 AM,1704
10:21:51 AM,1667
10:23:51 AM,1651
10:25:51 AM,1625
10:27:51 AM,1553
10:29:51 AM,1532
10:31:51 AM,1542
10:33:51 AM,1560
10:35:51 AM,1511
10:37:51 AM,1459
10:39:51 AM,1450
10:41:51 AM,1433
10:43:51 AM,1424
10:45:51 AM,1413
10:47:51 AM,1409
10:49:51 AM,1371
10:51:51 AM,1364
10:53:51 AM,1326
10:55:51 AM,1310
10:57:51 AM,1308
10:59:51 AM,1310
11:01:51 AM,1298
11:03:51 AM,1286
11:05:51 AM,1242
11:07:51 AM,1207
11:09:51 AM,1209
11:11:51 AM,1193
11:13:51 AM,1186
11:15:51 AM,1206
11:17:51 AM,1212
11:19:51 AM,1170
11:21:51 AM,1161
11:23:51 AM,1160
11:25:51 AM,1181
11:27:51 AM,1170
11:29:51 AM,1186
11:31:51 AM,1174
11:33:51 AM,1165
11:35:51 AM,1195
11:37:51 AM,1170
11:39:51 AM,1171
11:41:51 AM,1164
11:43:51 AM,1183
11:45:51 AM,1174
11:47:51 AM,1187
11:49:51 AM,1199
11:51:51 AM,1175
11:53:51 AM,1161
11:55:51 AM,1155
11:57:51 AM,1154
11:59:51 AM,1163
12:01:51 PM,1164
12:03:51 PM,1156
12:05:51 PM,1161
12:07:51 PM,1142
12:09:51 PM,1123
12:11:51 PM,1140
12:13:51 PM,1119
12:15:51 PM,1128
12:17:51 PM,1133
12:19:51 PM,1124
12:21:51 PM,1125
12:23:51 PM,1109
12:25:51 PM,1113
12:27:51 PM,1128
12:29:51 PM,1105
12:31:51 PM,1094
12:33:51 PM,1105
12:35:51 PM,1104
12:37:51 PM,1078
12:39:51 PM,1048
12:41:51 PM,1080
12:43:51 PM,1042
12:45:51 PM,1041
12:47:51 PM,1053
12:49:51 PM,1032
12:51:51 PM,1004
12:53:51 PM,993
12:55:51 PM,1000
12:57:51 PM,970
12:59:51 PM,991
1:01:51 PM,973
1:03:51 PM,963
1:05:51 PM,947
1:07:51 PM,935
1:09:51 PM,932
1:11:51 PM,930
1:13:51 PM,903
1:15:51 PM,941
1:17:51 PM,946
1:19:51 PM,968
1:21:51 PM,978
1:23:51 PM,1024
1:25:51 PM,1022
1:27:51 PM,1038
1:29:51 PM,1096
1:31:51 PM,1094
1:33:51 PM,1141
1:35:51 PM,1158
1:37:51 PM,1202
1:39:51 PM,1225
1:41:51 PM,1220
1:43:51 PM,1253
1:45:51 PM,1256
1:47:51 PM,1280
1:49:51 PM,1287
1:51:51 PM,1317
1:53:51 PM,1325
1:55:51 PM,1340
1:57:51 PM,1324
1:59:51 PM,1340
2:01:51 PM,1356
2:03:51 PM,1369
2:05:51 PM,1403
2:07:51 PM,1366
2:09:51 PM,1385
2:11:51 PM,1394
2:13:51 PM,1405
2:15:51 PM,1440
2:17:51 PM,1443
2:19:51 PM,1462
2:21:51 PM,1483
2:23:51 PM,1471
2:25:51 PM,1483
2:27:51 PM,1507
2:29:51 PM,1517
2:31:51 PM,1555
2:33:51 PM,1582
2:35:51 PM,1574
2:37:51 PM,1598
2:39:51 PM,1609
2:41:51 PM,1621
2:43:51 PM,1603
2:45:51 PM,1671
2:47:51 PM,1740
2:49:51 PM,1690
2:51:51 PM,1683
2:53:51 PM,1701
2:55:51 PM,1530
