Time,CO2,Temp,Humidity
7:26:12,733,20.7,65
7:28:12,794,20.8,58
7:30:12,816,20.8,56
7:32:12,831,20.8,56
7:34:12,849,20.8,56
7:36:12,863,20.8,56
7:38:12,895,20.8,56
7:40:12,881,20.7,56
7:42:12,879,20.7,56
7:44:12,892,20.8,56
7:46:12,897,20.8,56
7:48:12,899,20.8,55
7:50:12,921,20.8,55
7:52:12,906,20.8,55
7:54:12,939,20.8,55
7:56:12,955,20.8,55
7:58:12,973,20.8,55
8:00:12,972,20.8,55
8:02:12,989,20.9,55
8:04:12,997,20.9,55
8:06:12,999,20.9,55
8:08:12,1015,20.9,55
8:10:12,1013,20.9,55
8:12:12,1036,21,55
8:14:12,1023,21,55
8:16:12,1028,21,55
8:18:12,1043,21,55
8:20:12,1040,21.1,55
8:22:12,1114,21.1,56
8:24:12,1128,21.3,57
8:26:12,1097,21.4,56
8:28:12,1130,21.6,56
8:30:12,1130,21.7,56
8:32:12,1120,21.8,56
8:34:12,1105,21.9,56
8:36:12,1113,22,55
8:38:12,1083,22,55
8:40:12,1091,22.1,55
8:42:12,1083,22.2,55
8:44:12,1095,22.3,55
8:46:12,1074,22.4,55
8:48:12,1078,22.4,55
8:50:12,1090,22.5,54
8:52:12,1085,22.5,54
8:54:12,1114,22.6,54
8:56:12,1112,22.6,54
8:58:12,1094,22.7,54
9:00:12,1083,22.7,54
9:02:12,1092,22.8,54
9:04:12,1087,22.8,53
9:06:12,1073,22.9,53
9:08:12,1071,22.9,53
9:10:12,1076,23,53
9:12:12,1051,23,53
9:14:12,1067,23.1,53
9:16:12,971,23.2,52
9:18:12,998,23.2,52
9:20:12,1009,23.1,51
9:22:12,1014,23,52
9:24:12,1047,23,51
9:26:12,1033,22.9,52
9:28:12,1051,22.9,52
9:30:12,1084,22.9,52
9:32:12,1048,22.9,52
9:34:12,1049,22.8,52
9:36:12,1062,22.8,52
9:38:12,1059,22.8,52
9:40:12,1054,22.7,51
9:42:12,1047,22.7,52
9:44:12,1027,22.7,52
9:46:12,1029,22.7,52
9:48:12,1025,22.7,52
9:50:12,1050,22.7,52
9:52:12,1037,22.6,52
9:54:12,1045,22.6,52
