Time,CO2,Temp,Humidity
7:35:20 AM,553,20.4,44
7:37:20 AM,566,20.4,45
7:39:20 AM,575,20.5,45
7:41:20 AM,592,20.5,44
7:43:20 AM,590,20.5,45
7:45:20 AM,585,20.5,44
7:47:20 AM,596,20.5,44
7:49:20 AM,585,20.5,44
7:51:20 AM,584,20.5,44
7:53:20 AM,595,20.5,44
7:55:20 AM,614,20.5,44
7:57:20 AM,601,20.5,44
7:59:20 AM,596,20.6,44
8:01:20 AM,624,20.6,44
8:03:20 AM,622,20.6,44
8:05:20 AM,637,20.6,44
8:07:20 AM,631,20.7,44
8:09:20 AM,640,20.7,44
8:11:20 AM,645,20.7,45
8:13:20 AM,630,20.7,45
8:15:20 AM,633,20.7,45
8:17:20 AM,647,20.7,45
8:19:20 AM,640,20.7,45
8:21:20 AM,652,20.7,45
8:23:20 AM,626,20.9,41
8:25:20 AM,547,21.1,41
8:27:20 AM,547,21.2,42
8:29:20 AM,546,21.3,41
8:31:20 AM,538,21.4,40
8:33:20 AM,521,21.5,40
8:35:20 AM,518,21.5,39
8:37:20 AM,517,21.6,39
8:39:20 AM,512,21.7,40
8:41:20 AM,509,21.7,39
8:43:20 AM,519,21.8,39
8:45:20 AM,510,21.8,39
8:47:20 AM,513,21.9,39
8:49:20 AM,515,21.9,38
8:51:20 AM,505,22,38
8:53:20 AM,520,22,38
8:55:20 AM,530,22.1,38
8:57:20 AM,532,22.1,38
8:59:20 AM,531,22.1,38
9:01:20 AM,542,22.2,37
9:03:20 AM,535,22.2,37
9:05:20 AM,533,22.2,38
9:07:20 AM,536,22.2,38
9:09:20 AM,543,22.3,37
9:11:20 AM,575,22.3,38
9:13:20 AM,655,22.5,37
9:15:20 AM,804,22.6,35
9:17:20 AM,1342,22.6,38
9:19:20 AM,1486,22.6,39
9:21:20 AM,1553,22.5,39
9:23:20 AM,1593,22.4,40
9:25:20 AM,1647,22.4,40
9:27:20 AM,1701,22.4,40
9:29:20 AM,1731,22.4,41
9:31:20 AM,1776,22.4,41
9:33:20 AM,1789,22.3,41
9:35:20 AM,1815,22.4,41
9:37:20 AM,1857,22.3,41
9:39:20 AM,1906,22.4,42
9:41:20 AM,1958,22.4,42
9:43:20 AM,1981,22.4,42
9:45:20 AM,2004,22.4,42
9:47:20 AM,2033,22.4,42
