Time,CO2
8:17:22 AM,582
8:19:22 AM,575
8:21:22 AM,608
8:23:22 AM,624
8:25:22 AM,644
8:27:22 AM,652
8:29:22 AM,650
8:31:22 AM,682
8:33:22 AM,711
8:35:22 AM,724
8:37:22 AM,750
8:39:22 AM,755
8:41:22 AM,780
8:43:22 AM,799
8:45:22 AM,793
8:47:22 AM,760
8:49:22 AM,758
8:51:22 AM,712
8:53:22 AM,692
8:55:22 AM,689
8:57:22 AM,680
8:59:22 AM,649
9:01:22 AM,653
9:03:22 AM,630
9:05:22 AM,619
9:07:22 AM,614
9:09:22 AM,609
9:11:22 AM,597
9:13:22 AM,592
9:15:22 AM,583
9:17:22 AM,583
9:19:22 AM,583
9:21:22 AM,574
9:23:22 AM,556
9:25:22 AM,551
9:27:22 AM,555
9:29:22 AM,562
9:31:22 AM,552
9:33:22 AM,538
9:35:22 AM,538
9:37:22 AM,537
9:39:22 AM,537
9:41:22 AM,535
9:43:22 AM,536
9:45:22 AM,547
9:47:22 AM,543
9:49:22 AM,539
9:51:22 AM,545
9:53:22 AM,542
9:55:22 AM,536
9:57:22 AM,532
9:59:22 AM,525
10:01:22 AM,526
10:03:22 AM,518
10:05:22 AM,523
10:07:22 AM,528
10:09:22 AM,518
10:11:22 AM,501
10:13:22 AM,510
10:15:22 AM,503
10:17:22 AM,491
10:19:22 AM,495
10:21:22 AM,491
10:23:22 AM,493
10:25:22 AM,528
10:27:22 AM,564
10:29:22 AM,606
10:31:22 AM,626
10:33:22 AM,639
10:35:22 AM,654
10:37:22 AM,671
10:39:22 AM,674
10:41:22 AM,672
10:43:22 AM,646
10:45:22 AM,622
10:47:22 AM,616
10:49:22 AM,606
10:51:22 AM,584
10:53:22 AM,570
10:55:22 AM,558
10:57:22 AM,546
10:59:22 AM,540
11:01:22 AM,537
11:03:22 AM,532
11:05:22 AM,523
11:07:22 AM,522
11:09:22 AM,508
11:11:22 AM,514
11:13:22 AM,509
11:15:22 AM,517
11:17:22 AM,513
11:19:22 AM,536
11:21:22 AM,577
11:23:22 AM,587
11:25:22 AM,640
11:27:22 AM,677
11:29:22 AM,704
11:31:22 AM,710
11:33:22 AM,757
11:35:22 AM,750
11:37:22 AM,763
11:39:22 AM,807
11:41:22 AM,803
11:43:22 AM,817
11:45:22 AM,820
11:47:22 AM,822
11:49:22 AM,813
11:51:22 AM,833
11:53:22 AM,812
11:55:22 AM,816
11:57:22 AM,813
11:59:22 AM,844
12:01:22 PM,843
12:03:22 PM,843
12:05:22 PM,857
12:07:22 PM,869
12:09:22 PM,855
12:11:22 PM,856
12:13:22 PM,861
12:15:22 PM,847
12:17:22 PM,856
12:19:22 PM,861
12:21:22 PM,876
12:23:22 PM,862
12:25:22 PM,858
12:27:22 PM,853
12:29:22 PM,851
12:31:22 PM,863
12:33:22 PM,861
12:35:22 PM,862
12:37:22 PM,859
12:39:22 PM,866
12:41:22 PM,870
12:43:22 PM,854
12:45:22 PM,846
12:47:22 PM,847
12:49:22 PM,860
12:51:22 PM,865
12:53:22 PM,867
12:55:22 PM,880
12:57:22 PM,845
12:59:22 PM,860
1:01:22 PM,852
1:03:22 PM,850
1:05:22 PM,860
1:07:22 PM,871
1:09:22 PM,869
1:11:22 PM,886
1:13:22 PM,884
1:15:22 PM,875
1:17:22 PM,839
1:19:22 PM,820
1:21:22 PM,797
1:23:22 PM,781
1:25:22 PM,767
1:27:22 PM,766
1:29:22 PM,750
1:31:22 PM,750
1:33:22 PM,730
1:35:22 PM,725
1:37:22 PM,708
1:39:22 PM,715
1:41:22 PM,703
1:43:22 PM,688
1:45:22 PM,687
1:47:22 PM,671
1:49:22 PM,659
1:51:22 PM,662
1:53:22 PM,653
1:55:22 PM,633
1:57:22 PM,640
1:59:22 PM,625
2:01:22 PM,619
2:03:22 PM,622
2:05:22 PM,639
2:07:22 PM,676
2:09:22 PM,710
2:11:22 PM,753
2:13:22 PM,782
2:15:22 PM,785
2:17:22 PM,807
2:19:22 PM,810
2:21:22 PM,823
2:23:22 PM,833
2:25:22 PM,865
2:27:22 PM,894
2:29:22 PM,898
2:31:22 PM,916
2:33:22 PM,892
2:35:22 PM,910
2:37:22 PM,909
2:39:22 PM,903
2:41:22 PM,906
2:43:22 PM,890
2:45:22 PM,917
2:47:22 PM,929
2:49:22 PM,924
2:51:22 PM,916
2:53:22 PM,909
