Time,CO2,Temp,Humidity
8:50:34 AM,524,21.8,65
8:52:34 AM,488,21.9,66
8:54:34 AM,520,22,66
8:56:34 AM,526,22,65
8:58:34 AM,529,22,64
9:00:34 AM,540,21.9,64
9:02:34 AM,538,21.8,64
9:04:34 AM,540,21.8,63
9:06:34 AM,545,21.7,63
9:08:34 AM,540,21.7,63
9:10:34 AM,569,21.6,63
9:12:34 AM,576,21.6,63
9:14:34 AM,580,21.6,63
9:16:34 AM,599,21.5,63
9:18:34 AM,631,21.5,63
9:20:34 AM,643,21.5,63
9:22:34 AM,653,21.5,63
9:24:34 AM,659,21.4,63
9:26:34 AM,660,21.4,63
9:28:34 AM,654,21.4,63
9:30:34 AM,657,21.4,63
9:32:34 AM,659,21.4,63
9:34:34 AM,656,21.4,63
9:36:34 AM,652,21.3,63
9:38:34 AM,672,21.3,63
9:40:34 AM,673,21.3,63
9:42:34 AM,670,21.3,63
9:44:34 AM,691,21.3,63
9:46:34 AM,699,21.2,63
9:48:34 AM,681,21.2,63
9:50:34 AM,695,21.2,63
9:52:34 AM,710,21.2,63
9:54:34 AM,714,21.2,63
9:56:34 AM,733,21.2,63
9:58:34 AM,747,21.2,63
10:00:34 AM,759,21.2,63
10:02:34 AM,760,21.2,64
10:04:34 AM,767,21.2,64
10:06:34 AM,764,21.2,64
10:08:34 AM,785,21.2,64
10:10:34 AM,777,21.2,64
10:12:34 AM,806,21.2,64
10:14:34 AM,814,21.2,64
10:16:34 AM,808,21.1,64
10:18:34 AM,832,21.1,64
10:20:34 AM,830,21.1,64
10:22:34 AM,831,21.1,64
10:24:34 AM,860,21.1,64
10:26:34 AM,839,21.1,64
10:28:34 AM,855,21.1,64
10:30:34 AM,849,21.1,64
10:32:34 AM,860,21.1,64
10:34:34 AM,849,21.1,64
10:36:34 AM,833,21.1,64
10:38:34 AM,816,21.1,64
10:40:34 AM,840,21.1,64
10:42:34 AM,832,21.1,64
10:44:34 AM,830,21.1,64
10:46:34 AM,807,21.1,64
10:48:34 AM,806,21.1,64
10:50:34 AM,816,21.1,64
10:52:34 AM,808,21.1,64
10:54:34 AM,798,21.1,64
10:56:34 AM,799,21,64
10:58:34 AM,796,21,64
11:00:34 AM,793,21.1,64
11:02:34 AM,800,21.1,65
11:04:34 AM,779,21.1,64
11:06:34 AM,792,21,65
11:08:34 AM,798,21,65
11:10:34 AM,800,21,65
11:12:34 AM,807,21,65
11:14:34 AM,807,21,65
11:16:34 AM,909,21.1,66
11:18:34 AM,838,21.1,66
11:20:34 AM,821,21.1,65
11:22:34 AM,788,21.1,65
11:24:34 AM,778,21.1,65
11:26:34 AM,748,21.1,65
11:28:34 AM,752,21.1,65
11:30:34 AM,734,21.1,65
11:32:34 AM,735,21.1,65
