Time,CO2,Temp,Humidity
8:00:21 AM,596,22.7,61
8:02:21 AM,597,22.5,61
8:04:21 AM,618,22.4,61
8:06:21 AM,619,22.2,61
8:08:21 AM,631,22.1,61
8:10:21 AM,664,22,61
8:12:21 AM,693,21.9,62
8:14:21 AM,732,21.9,62
8:16:21 AM,758,21.8,62
8:18:21 AM,790,21.8,62
8:20:21 AM,823,21.8,62
8:22:21 AM,849,21.7,62
8:24:21 AM,889,21.7,62
8:26:21 AM,895,21.7,62
8:28:21 AM,928,21.7,63
8:30:21 AM,946,21.7,62
8:32:21 AM,958,21.7,63
8:34:21 AM,992,21.6,63
8:36:21 AM,1021,21.6,63
8:38:21 AM,1022,21.6,63
8:40:21 AM,1029,21.6,63
8:42:21 AM,1059,21.6,63
8:44:21 AM,1078,21.5,63
8:46:21 AM,1106,21.5,63
8:48:21 AM,1114,21.5,63
8:50:21 AM,1140,21.5,63
8:52:21 AM,1134,21.5,63
8:54:21 AM,1170,21.5,63
8:56:21 AM,1154,21.5,63
8:58:21 AM,1187,21.5,63
9:00:21 AM,1174,21.5,63
9:02:21 AM,1202,21.5,63
9:04:21 AM,1216,21.5,63
9:06:21 AM,1204,21.5,63
9:08:21 AM,1227,21.6,63
9:10:21 AM,1257,21.6,63
9:12:21 AM,1258,21.7,64
9:14:21 AM,1285,21.8,63
9:16:21 AM,1271,21.8,63
9:18:21 AM,1289,21.8,63
9:20:21 AM,1296,21.8,63
9:22:21 AM,1315,21.7,62
9:24:21 AM,1319,21.7,63
9:26:21 AM,1347,21.7,63
9:28:21 AM,1378,21.7,63
9:30:21 AM,1376,21.7,63
9:32:21 AM,1411,21.7,63
9:34:21 AM,1416,21.6,63
9:36:21 AM,1412,21.6,63
9:38:21 AM,1433,21.6,62
9:40:21 AM,1448,21.6,62
9:42:21 AM,1465,21.5,63
9:44:21 AM,1458,21.6,62
9:46:21 AM,1461,21.5,62
9:48:21 AM,1491,21.5,63
9:50:21 AM,1486,21.6,62
9:52:21 AM,1508,21.6,62
9:54:21 AM,1503,21.6,62
9:56:21 AM,1496,21.6,61
9:58:21 AM,1505,21.7,61
10:00:21 AM,1496,21.7,61
10:02:21 AM,1486,21.7,61
10:04:21 AM,1472,21.7,61
10:06:21 AM,1470,21.7,61
10:08:21 AM,1421,21.7,60
10:10:21 AM,1433,21.7,60
10:12:21 AM,1405,21.7,60
10:14:21 AM,1391,21.7,60
10:16:21 AM,1378,21.7,60
10:18:21 AM,1370,21.8,60
10:20:21 AM,1346,21.7,60
10:22:21 AM,1340,21.7,60
10:24:21 AM,1328,21.7,60
10:26:21 AM,1302,21.7,60
10:28:21 AM,1308,21.7,60
10:30:21 AM,1321,21.8,60
10:32:21 AM,1306,21.7,60
10:34:21 AM,1307,21.7,60
10:36:21 AM,1310,21.8,60
10:38:21 AM,1294,21.7,60
10:40:21 AM,1312,21.7,60
10:42:21 AM,1303,21.7,60
10:44:21 AM,1311,21.8,60
10:46:21 AM,1290,21.8,60
10:48:21 AM,1276,21.8,60
10:50:21 AM,1289,21.8,60
10:52:21 AM,1279,21.8,59
10:54:21 AM,1299,21.8,60
10:56:21 AM,1174,21.8,59
10:58:21 AM,631,21.8,71
11:00:21 AM,639,22,68
11:02:21 AM,684,22.1,68
11:04:21 AM,716,22.3,67
11:06:21 AM,792,22.3,67
11:08:21 AM,893,22.4,67
11:10:21 AM,959,22.5,67
11:12:21 AM,1045,22.6,66
11:14:21 AM,1075,22.6,66
11:16:21 AM,1083,22.7,66
11:18:21 AM,1100,22.8,66
11:20:21 AM,1158,22.8,66
11:22:21 AM,1189,22.9,66
11:24:21 AM,1196,23,65
11:26:21 AM,1256,23,65
11:28:21 AM,788,22.9,61
11:30:21 AM,770,22.7,60
11:32:21 AM,819,22.6,60
11:34:21 AM,781,22.5,60
11:36:21 AM,765,22.5,60
11:38:21 AM,777,22.5,59
11:40:21 AM,798,22.5,59
11:42:21 AM,862,22.5,60
11:44:21 AM,863,22.5,60
11:46:21 AM,875,22.5,60
11:48:21 AM,835,22.4,59
11:50:21 AM,866,22.4,59
11:52:21 AM,829,22.4,59
11:54:21 AM,832,22.3,58
11:56:21 AM,864,22.4,58
11:58:21 AM,887,22.4,59
12:00:21 PM,888,22.4,59
12:02:21 PM,898,22.4,59
12:04:21 PM,887,22.3,58
12:06:21 PM,855,22.3,58
12:08:21 PM,849,22.3,58
12:10:21 PM,865,22.3,58
12:12:21 PM,865,22.3,58
12:14:21 PM,907,22.3,58
12:16:21 PM,922,22.4,58
12:18:21 PM,923,22.3,59
12:20:21 PM,927,22.3,58
12:22:21 PM,912,22.3,58
12:24:21 PM,893,22.3,58
12:26:21 PM,884,22.3,58
12:28:21 PM,930,22.4,58
12:30:21 PM,916,22.4,58
12:32:21 PM,940,22.4,58
12:34:21 PM,945,22.4,58
12:36:21 PM,928,22.3,58
12:38:21 PM,937,22.3,58
12:40:21 PM,903,22.3,58
12:42:21 PM,909,22.3,58
12:44:21 PM,932,22.3,58
12:46:21 PM,940,22.3,58
12:48:21 PM,934,22.4,59
12:50:21 PM,949,22.3,59
12:52:21 PM,552,22.5,68
12:54:21 PM,790,22.5,61
12:56:21 PM,787,22.5,60
12:58:21 PM,800,22.4,60
1:00:21 PM,837,22.4,60
1:02:21 PM,891,22.3,60
1:04:21 PM,928,22.3,60
1:06:21 PM,974,22.2,61
1:08:21 PM,1009,22.2,61
1:10:21 PM,1059,22.1,61
1:12:21 PM,1094,22.1,61
1:14:21 PM,1099,22.1,61
1:16:21 PM,1127,22,61
1:18:21 PM,1158,22,61
1:20:21 PM,1185,22,61
1:22:21 PM,1196,22,61
1:24:21 PM,1208,22,61
1:26:21 PM,1227,22,61
1:28:21 PM,1242,22,61
1:30:21 PM,1247,21.9,61
1:32:21 PM,1281,21.9,61
1:34:21 PM,1284,21.9,62
1:36:21 PM,1297,21.9,62
1:38:21 PM,1322,21.9,62
1:40:21 PM,1336,21.9,62
1:42:21 PM,1349,22,62
1:44:21 PM,1360,22,62
1:46:21 PM,1382,22,62
1:48:21 PM,1427,22,62
1:50:21 PM,1407,22,62
1:52:21 PM,1395,22,61
1:54:21 PM,1443,22,62
1:56:21 PM,1251,22,61
1:58:21 PM,1210,22,61
2:00:21 PM,1232,22,61
2:02:21 PM,1254,22,61
2:04:21 PM,1244,21.9,61
2:06:21 PM,1262,21.9,61
2:08:21 PM,1256,21.9,60
2:10:21 PM,1270,21.9,60
2:12:21 PM,1279,21.9,60
2:14:21 PM,1278,21.8,60
2:16:21 PM,1264,21.8,60
2:18:21 PM,1271,21.8,60
2:20:21 PM,1266,21.8,60
2:22:21 PM,1269,21.8,60
2:24:21 PM,1248,21.8,60
2:26:21 PM,1242,21.8,60
2:28:21 PM,1261,21.8,60
2:30:21 PM,1267,21.8,60
2:32:21 PM,1279,21.8,60
2:34:21 PM,1278,21.8,60
2:36:21 PM,1272,21.8,60
2:38:21 PM,1268,21.8,60
2:40:21 PM,1304,21.8,60
2:42:21 PM,1302,21.8,60
2:44:21 PM,1289,21.8,60
2:46:21 PM,1298,21.8,60
2:48:21 PM,1300,21.8,60
2:50:21 PM,1302,21.9,60
2:52:21 PM,1303,21.9,60
2:54:21 PM,1294,21.9,60
2:56:21 PM,1286,21.9,60
2:58:21 PM,1315,21.9,60
3:00:21 PM,1308,21.9,60
3:02:21 PM,595,21.9,64
