Time(dd/mm/yyyy),Time,CO2,Temp,Humidity
19/10/2022 9:16:56 AM,9:16:56 AM,835,19.1,46
19/10/2022 9:18:56 AM,9:18:56 AM,845,19.4,47
19/10/2022 9:20:56 AM,9:20:56 AM,828,19.6,46
19/10/2022 9:22:56 AM,9:22:56 AM,838,19.8,46
19/10/2022 9:24:56 AM,9:24:56 AM,831,19.9,46
19/10/2022 9:26:56 AM,9:26:56 AM,864,20.1,47
19/10/2022 9:28:56 AM,9:28:56 AM,889,20.2,47
19/10/2022 9:30:56 AM,9:30:56 AM,897,20.3,47
19/10/2022 9:32:56 AM,9:32:56 AM,908,20.4,47
19/10/2022 9:34:56 AM,9:34:56 AM,906,20.4,47
19/10/2022 9:36:56 AM,9:36:56 AM,939,20.5,47
19/10/2022 9:38:56 AM,9:38:56 AM,966,20.5,47
19/10/2022 9:40:56 AM,9:40:56 AM,983,20.6,47
19/10/2022 9:42:56 AM,9:42:56 AM,983,20.7,47
19/10/2022 9:44:56 AM,9:44:56 AM,1002,20.7,47
19/10/2022 9:46:56 AM,9:46:56 AM,996,20.7,47
19/10/2022 9:48:56 AM,9:48:56 AM,1027,20.8,47
19/10/2022 9:50:56 AM,9:50:56 AM,1039,20.8,47
19/10/2022 9:52:56 AM,9:52:56 AM,1050,20.8,47
19/10/2022 9:54:56 AM,9:54:56 AM,1056,20.9,47
19/10/2022 9:56:56 AM,9:56:56 AM,1087,20.9,47
19/10/2022 9:58:56 AM,9:58:56 AM,1097,21,48
19/10/2022 10:00:56 AM,10:00:56 AM,1119,21,48
19/10/2022 10:02:56 AM,10:02:56 AM,1113,21.1,48
19/10/2022 10:04:56 AM,10:04:56 AM,1136,21.1,48
19/10/2022 10:06:56 AM,10:06:56 AM,1152,21.1,48
19/10/2022 10:08:56 AM,10:08:56 AM,1165,21.2,48
19/10/2022 10:10:56 AM,10:10:56 AM,1179,21.2,48
19/10/2022 10:12:56 AM,10:12:56 AM,1191,21.2,48
19/10/2022 10:14:56 AM,10:14:56 AM,1192,21.3,48
19/10/2022 10:16:56 AM,10:16:56 AM,1199,21.3,48
19/10/2022 10:18:56 AM,10:18:56 AM,1206,21.3,48
19/10/2022 10:20:56 AM,10:20:56 AM,1223,21.3,48
19/10/2022 10:22:56 AM,10:22:56 AM,1247,21.3,48
19/10/2022 10:24:56 AM,10:24:56 AM,1249,21.4,48
19/10/2022 10:26:56 AM,10:26:56 AM,1273,21.4,48
19/10/2022 10:28:56 AM,10:28:56 AM,1287,21.4,48
19/10/2022 10:30:56 AM,10:30:56 AM,1294,21.5,48
19/10/2022 10:32:56 AM,10:32:56 AM,1287,21.5,48
19/10/2022 10:34:56 AM,10:34:56 AM,1313,21.5,48
19/10/2022 10:36:56 AM,10:36:56 AM,1316,21.5,48
19/10/2022 10:38:56 AM,10:38:56 AM,1330,21.5,48
19/10/2022 10:40:56 AM,10:40:56 AM,1346,21.6,48
